WPBP2ZWIN;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1400
WPBP2ZWIN;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1600
WPBP4ANFB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1600
WPBP4ANFB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1800
WPBP4ANFB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2000
WPBP4ANFB;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1400
WPBP4ANFB;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1600
WPBP4ANFN;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1600
WPBP4ANFN;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1800
WPBP4ANFN;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2000
WPBP4ANFN;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1400
WPBP4ANFN;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1600
WPBP4B;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2400
WPBP4B;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2800
WPBP4B;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1400
WPBP4B;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1600
WPBP4N;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2200
WPBP4N;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2400
WPBP4N;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2800
WPBP4N;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1400
WPBP4N;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1600
WPBPANFB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1600
WPBPANFB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1800
WPBPANFB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2000
WPBPANFB;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1200
WPBPANFN;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1600
WPBPANFN;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1800
WPBPANFN;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2000
WPBPANFN;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1000
WPBPANFN;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1200
WPBPANFN;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;800
WPBPANFT;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1600
WPBPANFT;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1800
WPBPANFT;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2000
WPBPANFT;ZZ_AS_PLATTE_BESPRECHUNG;T1_TI;1200
WPBPB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;1800
WPBPB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2000
WPBPB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2400
WPBPB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;2800
WPBPB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;3200
WPBPB;ZZ_AS_PLATTE_BESPRECHUNG;B1_TI;4000
WPBPB;ZZ_AS_PLATTE_BESPRECHUNG;PRODUKTTYP;KTISCH
